id,prd_name,price
742,Bagel - 12 Grain Preslice,53.06
743,Carbonated Water - Peach,8.7
744,Steel Wool,14.26
745,Flour - Chickpea,9.96
746,"Tart Shells - Savory, 4",98.17
747,Beer - Blue Light,59.54
748,Roe - White Fish,98.79
749,Chinese Lemon Pork,45.97
750,Rambutan,85.76
751,Extract - Lemon,48.52
752,"Sparkling Wine - Rose, Freixenet",17.95
753,"Wine - Red, Antinori Santa",83.61
754,Wine - Shiraz Wolf Blass Premium,23.26
755,Coffee - Dark Roast,45.29
756,Rhubarb,75.6
757,Lettuce - Red Leaf,47.45
758,"Mustard - Dry, Powder",53.08
759,Tomato - Plum With Basil,88.88
760,Brandy - Bar,74.49
761,Pop - Club Soda Can,58.66
762,Ketchup - Tomato,56.83
763,"Pasta - Penne Primavera, Single",7.16
764,Veal - Kidney,80.82
765,Chevere Logs,61.12
766,Sauce - Plum,56.01
767,Beef - Tenderloin Tails,97.04
768,Wine - Vovray Sec Domaine Huet,50.99
769,Soup - Campbells,16.89
770,Wine - Valpolicella Masi,62.31
771,Puree - Guava,12.06
772,Spring Roll Wrappers,78.54
773,Soup - Boston Clam Chowder,95.42
774,Cheese Cheddar Processed,34.12
775,"Soup - Knorr, Country Bean",69.16
776,"Marsala - Sperone, Fine, D.o.c.",96.61
777,Alize Red Passion,1.39
778,Shortbread - Cookie Crumbs,28.57
779,Venison - Denver Leg Boneless,29.75
780,"Trout - Rainbow, Fresh",10.59
781,Garbage Bag - Clear,75.02
782,Soup Campbells Mexicali Tortilla,73.65
783,Bag Stand,84.55
784,Wine - Rhine Riesling Wolf Blass,26.33
785,Vaccum Bag 10x13,74.21
786,Coffee - Ristretto Coffee Capsule,49.78
787,Soup - Campbells,34.28
788,Wine - Bouchard La Vignee Pinot,80.37
789,Gherkin - Sour,17.43
790,Onion - Dried,78.24
791,Soup - Campbells,17.65
792,Bread - Dark Rye,38.69
793,Spice - Montreal Steak Spice,34.21
794,Corn - Mini,46.0
795,Wine - Shiraz South Eastern,98.78
796,Steam Pan Full Lid,36.9
797,Spice - Paprika,25.46
798,Soho Lychee Liqueur,88.98
799,"Juice - Orange, Concentrate",59.69
800,Mortadella,1.73
801,Wine - Rhine Riesling Wolf Blass,94.98
802,Tea - Herbal Sweet Dreams,82.24
803,Vanilla Beans,74.94
804,"Roe - Lump Fish, Black",56.45
805,Turkey Leg With Drum And Thigh,63.99
806,Wine - Puligny Montrachet A.,96.82
807,Eggplant - Regular,25.34
808,Wild Boar - Tenderloin,90.06
809,Bag - Clear 7 Lb,92.76
810,Wine - Cabernet Sauvignon,96.81
811,Appetizer - Tarragon Chicken,60.32
812,"Rum - White, Gg White",77.43
813,Flour - So Mix Cake White,30.31
814,Bread - Corn Muffaletta,51.56
815,Venison - Striploin,11.44
816,"Asparagus - White, Fresh",11.65
817,Plasticforkblack,93.83
818,Muffins - Assorted,5.66
819,"Marjoram - Dried, Rubbed",95.82
820,Squid Ink,17.26
821,Flour - Chickpea,37.7
822,Sterno - Chafing Dish Fuel,80.96
823,Bread - Pita,27.07
824,"Chilli Paste, Sambal Oelek",21.87
825,Prunes - Pitted,45.0
826,Banana - Leaves,30.68
827,Mace Ground,15.96
828,Sage - Rubbed,88.16
829,"Nut - Pine Nuts, Whole",93.24
830,Coffee - Decaffeinato Coffee,22.41
831,Duck - Whole,6.08
832,Vanilla Beans,66.94
833,Jam - Apricot,92.6
834,Sultanas,23.75
835,Yoplait Drink,65.78
836,Napkin White,4.73
837,Foil Cont Round,75.81
838,Pate - Cognac,27.21
839,Mushroom - Portebello,54.96
840,Veal - Bones,44.27
841,"Shrimp, Dried, Small / Lb",54.53
842,"Wine - Red, Black Opal Shiraz",51.77
843,Lettuce - Arugula,80.98
844,Peach - Fresh,34.2
845,"Lamb - Whole, Fresh",11.57
846,Tea - Honey Green Tea,49.88
847,Vanilla Beans,11.41
848,Lemon Pepper,42.25
849,Cake Slab,76.7
850,Longos - Penne With Pesto,14.38
851,Initation Crab Meat,9.1
852,"Cheese - Cheddar, Old White",84.27
853,Peppercorns - Green,28.63
854,"Nut - Walnut, Chopped",33.87
855,Nantucket - 518ml,9.71
856,Thyme - Fresh,69.32
857,Compound - Rum,11.64
858,Muffin - Mix - Bran And Maple 15l,9.09
859,Mousse - Passion Fruit,58.84
860,Wine - Stoneliegh Sauvignon,26.95
861,Corn Meal,41.29
862,Table Cloth 72x144 White,91.54
863,Kolrabi,74.8
864,Cake - Dulce De Leche,5.83
865,Cape Capensis - Fillet,92.71
866,Mints - Striped Red,76.68
867,Huck Towels White,68.03
868,Scallops - 10/20,53.09
869,Bread - Corn Muffaletta,73.11
870,Russian Prince,20.68
871,Syrup - Monin - Granny Smith,38.68
872,Table Cloth 53x69 White,78.92
873,Parasol Pick Stir Stick,57.4
874,Berry Brulee,54.23
875,"Doilies - 10, Paper",19.43
876,Wine - Zinfandel Rosenblum,23.87
877,Cheese - Camembert,63.79
878,Savory,41.2
879,Kiwano,58.53
880,Soho Lychee Liqueur,2.32
881,"Wine - White, Concha Y Toro",47.89
882,Cheese - Asiago,32.75
883,Dooleys Toffee,74.2
884,Beer - Fruli,45.87
885,Gelatine Leaves - Bulk,97.22
886,Salt And Pepper Mix - Black,47.91
887,Lighter - Bbq,11.8
888,"Rum - Dark, Bacardi, Black",66.68
889,Shrimp - Black Tiger 16/20,74.25
890,Veal - Insides Provini,58.01
891,"Cake Circle, Foil, Scallop",23.69
892,"Wine - Mas Chicet Rose, Vintage",9.51
893,Oil - Shortening - All - Purpose,51.61
894,Chinese Foods - Thick Noodles,46.79
895,Cheese - Mix,97.46
896,Wine - Remy Pannier Rose,37.42
897,Wine - Saint Emilion Calvet,73.71
898,Pike - Frozen Fillet,52.54
899,Sauce - Plum,54.58
900,"Wine - White, Colubia Cresh",51.33
901,"Juice - Tomato, 48 Oz",7.26
902,Container - Hngd Cll Blk 7x7x3,97.12
903,Pernod,4.7
904,"Pepsi, 355 Ml",95.22
905,Croissants Thaw And Serve,26.22
906,Sausage - Liver,15.4
907,"Chocolate - Pistoles, White",26.28
908,"Bread - White, Unsliced",18.51
909,Alize Gold Passion,79.39
910,Beets - Mini Golden,98.37
911,Mussels - Cultivated,26.74
912,"Wine - Red, Gallo, Merlot",66.04
913,Wine - Masi Valpolocell,96.5
914,Cheese - Wine,73.86
915,Pastry - Trippleberry Muffin - Mini,43.63
916,Greens Mustard,83.03
917,Cake - Cheese Cake 9 Inch,35.87
918,Easy Off Oven Cleaner,76.88
919,Bandage - Finger Cots,82.96
920,Lamb - Shoulder,92.15
921,Wine - Red Oakridge Merlot,94.74
922,Chutney Sauce - Mango,34.0
923,Lidsoupcont Rp12dn,76.05
924,"Pasta - Rotini, Dry",94.17
925,"Rum - Coconut, Malibu",62.63
926,Beef Tenderloin Aaa,97.99
927,Shichimi Togarashi Peppeers,69.03
928,Paper Cocktail Umberlla 80 - 180,59.31
929,Muffin Batt - Choc Chk,77.42
930,Petite Baguette,64.03
931,Plate Pie Foil,32.15
932,"Sugar - Sweet N Low, Individual",67.85
933,"Beef - Bones, Marrow",31.25
934,Cake - Sheet Strawberry,94.88
935,"Pasta - Detalini, White, Fresh",96.77
936,Cafe Royale,50.09
937,Coffee Swiss Choc Almond,1.23
938,Veal - Liver,90.75
939,"Pepsi - Diet, 355 Ml",48.22
940,"Pail - 4l White, With Handle",71.18
941,"Doilies - 10, Paper",45.9
942,"Salt - Rock, Course",5.21
943,Garbage Bag - Clear,33.84
944,"Salsify, Organic",93.08
945,Pastry - Baked Scones - Mini,72.15
946,"Wine - Magnotta - Red, Baco",7.21
947,"Tomatoes - Plum, Canned",19.85
948,"Quail - Eggs, Fresh",54.5
949,"7up Diet, 355 Ml",34.16
950,Beans - Soya Bean,21.07
951,Bread - White Epi Baguette,97.26
952,"Bread - Sticks, Thin, Plain",71.17
953,Skirt - 24 Foot,91.84
954,Cheese - Gouda,67.8
955,Carbonated Water - Strawberry,68.05
956,Gloves - Goldtouch Disposable,89.4
957,"Mushroom - Chanterelle, Dry",73.23
958,Chinese Foods - Chicken,2.75
959,Sole - Iqf,66.48
960,Trout - Smoked,58.07
961,Cheese - Fontina,28.63
962,"Juice - Apple, 500 Ml",10.81
963,Snapple Raspberry Tea,56.5
964,Pepsi - 600ml,42.64
965,Sterno - Chafing Dish Fuel,8.98
966,Watercress,74.22
967,Creme De Banane - Marie,76.77
968,"Soup - Knorr, Ministrone",46.22
969,Coffee Cup 16oz Foam,89.83
970,"Wine - Red, Mosaic Zweigelt",86.01
971,Cloves - Whole,76.76
972,Muffin - Bran Ind Wrpd,96.53
973,Gatorade - Cool Blue Raspberry,19.65
974,Muffin Orange Individual,37.34
975,Anisette - Mcguiness,50.41
976,"Nut - Pecan, Halves",15.85
977,Melon - Watermelon Yellow,77.9
978,Oil - Grapeseed Oil,18.04
979,"Soup - Campbells, Minestrone",79.59
980,Ice Cream Bar - Oreo Cone,45.68
981,Chicken - White Meat With Tender,31.7
982,"Sparkling Wine - Rose, Freixenet",31.32
983,"Coke - Diet, 355 Ml",76.54
984,Rootbeer,69.25
985,Muskox - French Rack,36.84
986,Banana - Green,43.72
987,Orange Roughy 6/8 Oz,42.33
988,Compound - Passion Fruit,87.3
989,"Veal - Chops, Split, Frenched",28.15
990,Tahini Paste,23.3
991,Sachet,29.08
992,Pastry - Trippleberry Muffin - Mini,24.62
993,Icecream - Dstk Strw Chseck,11.09
994,Truffle Paste,37.57
995,Soup - Campbells Chili Veg,90.08
996,Ham - Procutinni,61.04
997,Muffins - Assorted,1.02
998,"Potatoes - Yukon Gold, 80 Ct",10.47
999,Hummus - Spread,77.63
1000,Pie Filling - Pumpkin,72.35
